year,region,theme,album_count,sample_artists,hover_text,bubble_size
2020,Alberta,Identity & Heritage,1,nêhiyawak,<b>2020 | Alberta</b><br><b>Theme:</b> Identity & Heritage<br><b>Albums:</b> 1<br><b>Artists:</b> nêhiyawak,10
2020,Alberta,Social Commentary,1,Wares,<b>2020 | Alberta</b><br><b>Theme:</b> Social Commentary<br><b>Albums:</b> 1<br><b>Artists:</b> Wares,10
2020,Manitoba,Introspection & Philosophy,2,"Begonia, William Prince","<b>2020 | Manitoba</b><br><b>Theme:</b> Introspection & Philosophy<br><b>Albums:</b> 2<br><b>Artists:</b> Begonia, William Prince",16
2020,Nova Scotia,Identity & Heritage,1,P'tit Belliveau,<b>2020 | Nova Scotia</b><br><b>Theme:</b> Identity & Heritage<br><b>Albums:</b> 1<br><b>Artists:</b> P'tit Belliveau,10
2020,Nova Scotia,Place & Landscape,1,Joel Plaskett,<b>2020 | Nova Scotia</b><br><b>Theme:</b> Place & Landscape<br><b>Albums:</b> 1<br><b>Artists:</b> Joel Plaskett,10
2020,Nova Scotia,Social Commentary,1,Aquakultre,<b>2020 | Nova Scotia</b><br><b>Theme:</b> Social Commentary<br><b>Albums:</b> 1<br><b>Artists:</b> Aquakultre,10
2020,Nunavut,Identity & Heritage,1,Riit,<b>2020 | Nunavut</b><br><b>Theme:</b> Identity & Heritage<br><b>Albums:</b> 1<br><b>Artists:</b> Riit,10
2020,Ontario,Experimental & Abstract,4,"Cindy Lee, Badge Époque Ensemble, Super Duty Tough Work","<b>2020 | Ontario</b><br><b>Theme:</b> Experimental & Abstract<br><b>Albums:</b> 4<br><b>Artists:</b> Cindy Lee, Badge Époque Ensemble, Super Duty Tough Work",32
2020,Ontario,Identity & Heritage,4,"Pantayo, Lido Pimienta, WHOOP-Szo","<b>2020 | Ontario</b><br><b>Theme:</b> Identity & Heritage<br><b>Albums:</b> 4<br><b>Artists:</b> Pantayo, Lido Pimienta, WHOOP-Szo",32
2020,Ontario,Introspection & Philosophy,4,"Owen Pallett, Witch Prophet, Allie X","<b>2020 | Ontario</b><br><b>Theme:</b> Introspection & Philosophy<br><b>Albums:</b> 4<br><b>Artists:</b> Owen Pallett, Witch Prophet, Allie X",32
2020,Ontario,Love & Relationships,5,"Caribou, The Weeknd, Jessie Reyez","<b>2020 | Ontario</b><br><b>Theme:</b> Love & Relationships<br><b>Albums:</b> 5<br><b>Artists:</b> Caribou, The Weeknd, Jessie Reyez",40
2020,Ontario,Place & Landscape,1,Sarah Harmer,<b>2020 | Ontario</b><br><b>Theme:</b> Place & Landscape<br><b>Albums:</b> 1<br><b>Artists:</b> Sarah Harmer,10
2020,Ontario,Social Commentary,3,"U.S. Girls, Ice Cream, Junia-T","<b>2020 | Ontario</b><br><b>Theme:</b> Social Commentary<br><b>Albums:</b> 3<br><b>Artists:</b> U.S. Girls, Ice Cream, Junia-T",24
2020,Quebec,Experimental & Abstract,2,"Kaytranada, Jacques Greene","<b>2020 | Quebec</b><br><b>Theme:</b> Experimental & Abstract<br><b>Albums:</b> 2<br><b>Artists:</b> Kaytranada, Jacques Greene",16
2020,Quebec,Introspection & Philosophy,1,Leif Vollebekk,<b>2020 | Quebec</b><br><b>Theme:</b> Introspection & Philosophy<br><b>Albums:</b> 1<br><b>Artists:</b> Leif Vollebekk,10
2020,Quebec,Love & Relationships,3,"Men I Trust, Marie-Pierre Arthur, Louis-Jean Cormier","<b>2020 | Quebec</b><br><b>Theme:</b> Love & Relationships<br><b>Albums:</b> 3<br><b>Artists:</b> Men I Trust, Marie-Pierre Arthur, Louis-Jean Cormier",24
2020,Quebec,Place & Landscape,2,"Corridor, Flore Laurentienne","<b>2020 | Quebec</b><br><b>Theme:</b> Place & Landscape<br><b>Albums:</b> 2<br><b>Artists:</b> Corridor, Flore Laurentienne",16
2020,Quebec,Social Commentary,2,"Backxwash, Chocolat","<b>2020 | Quebec</b><br><b>Theme:</b> Social Commentary<br><b>Albums:</b> 2<br><b>Artists:</b> Backxwash, Chocolat",16
2020,Saskatchewan,Introspection & Philosophy,1,Andy Shauf,<b>2020 | Saskatchewan</b><br><b>Theme:</b> Introspection & Philosophy<br><b>Albums:</b> 1<br><b>Artists:</b> Andy Shauf,10
2021,Alberta,Social Commentary,1,Cadence Weapon,<b>2021 | Alberta</b><br><b>Theme:</b> Social Commentary<br><b>Albums:</b> 1<br><b>Artists:</b> Cadence Weapon,10
2021,British Columbia,Place & Landscape,1,Yu Su,<b>2021 | British Columbia</b><br><b>Theme:</b> Place & Landscape<br><b>Albums:</b> 1<br><b>Artists:</b> Yu Su,10
2021,British Columbia,Social Commentary,1,Art Bergmann,<b>2021 | British Columbia</b><br><b>Theme:</b> Social Commentary<br><b>Albums:</b> 1<br><b>Artists:</b> Art Bergmann,10
2021,Nova Scotia,Experimental & Abstract,1,Fiver with the Atlantic School of Spontaneous Composition,<b>2021 | Nova Scotia</b><br><b>Theme:</b> Experimental & Abstract<br><b>Albums:</b> 1<br><b>Artists:</b> Fiver with the Atlantic School of Spontaneous Composition,10
